"Profit","orderDate"
3940.3599999999997,"2003-01-06"
5236.74,"2003-01-09"
2135.94,"2003-01-10"
18827.11,"2003-01-29"
15680.8,"2003-01-31"
21374.329999999998,"2003-02-11"
21298.22,"2003-02-17"
9307.77,"2003-02-24"
19871.439999999995,"2003-03-03"
11642.42,"2003-03-10"
20489.51,"2003-03-18"
3418.1800000000003,"2003-03-24"
6061.2699999999995,"2003-03-25"
4620.2,"2003-03-26"
12844.38,"2003-04-01"
7998.779999999999,"2003-04-04"
906.1200000000001,"2003-04-11"
17838.75,"2003-04-16"
1262.16,"2003-04-21"
14482.44,"2003-04-28"
18514.18,"2003-04-29"
7313.499999999998,"2003-05-07"
18285.770000000004,"2003-05-08"
6673.080000000001,"2003-05-20"
15749.46,"2003-05-21"
23565.18,"2003-05-28"
24097.07,"2003-06-03"
4664.75,"2003-06-06"
11138.16,"2003-06-12"
8563.140000000001,"2003-06-16"
921.6,"2003-06-25"
8844.85,"2003-06-27"
10946.75,"2003-07-01"
21908.969999999998,"2003-07-02"
5571.01,"2003-07-04"
12131.330000000002,"2003-07-07"
6232.26,"2003-07-10"
9880.380000000001,"2003-07-16"
15402.89,"2003-07-24"
11020.26,"2003-08-01"
22591.770000000004,"2003-08-08"
15435.359999999999,"2003-08-10"
467.79999999999984,"2003-08-13"
20680.690000000002,"2003-08-25"
3054.74,"2003-09-03"
12452.760000000002,"2003-09-05"
16644.53,"2003-09-11"
12938.779999999999,"2003-09-12"
14634.099999999997,"2003-09-19"
13394.98,"2003-09-21"
3308.17,"2003-09-25"
17427.47,"2003-09-28"
1788.7200000000003,"2003-10-02"
9223.320000000002,"2003-10-04"
12688.42,"2003-10-05"
25041.19,"2003-10-06"
1603.12,"2003-10-08"
6216.39,"2003-10-09"
24581.019999999997,"2003-10-10"
6329.860000000001,"2003-10-11"
13952.670000000002,"2003-10-17"
13543.25,"2003-10-18"
9122.07,"2003-10-20"
14300.61,"2003-10-21"
26465.57,"2003-10-22"
16394.26,"2003-10-23"
19310.15,"2003-10-28"
21160.05,"2003-11-04"
33688.01000000001,"2003-11-05"
39729.49999999999,"2003-11-06"
11714.6,"2003-11-07"
13549.969999999998,"2003-11-08"
26587.72,"2003-11-11"
40403.86999999999,"2003-11-12"
11976.300000000001,"2003-11-13"
48464.81999999999,"2003-11-14"
10210.62,"2003-11-15"
14464.2,"2003-11-18"
3908.9599999999996,"2003-11-19"
31483.7,"2003-11-20"
15018.820000000002,"2003-11-21"
31135.570000000003,"2003-11-25"
30766.33,"2003-11-26"
9442.78,"2003-11-27"
20073.35,"2003-12-01"
48577.56999999999,"2003-12-02"
5593.079999999999,"2003-12-03"
15958.38,"2003-12-05"
22461.459999999995,"2003-12-09"
19397.019999999997,"2004-01-02"
8598.509999999998,"2004-01-09"
18374.31,"2004-01-12"
22311.180000000004,"2004-01-15"
21873.979999999992,"2004-01-16"
2845.15,"2004-01-22"
11237.06,"2004-01-26"
14815.819999999998,"2004-01-29"
2409.72,"2004-02-02"
7813.659999999999,"2004-02-04"
3316.5399999999995,"2004-02-09"
4291.339999999999,"2004-02-10"
12358,"2004-02-12"
6009.300000000001,"2004-02-18"
22089.35,"2004-02-19"
18347.79,"2004-02-20"
8723.060000000001,"2004-02-21"
18679.239999999998,"2004-02-22"
9505.35,"2004-02-26"
17420.580000000005,"2004-03-02"
8846.27,"2004-03-10"
16760.12,"2004-03-11"
11684.5,"2004-03-15"
7238.700000000001,"2004-03-19"
8996.940000000002,"2004-03-20"
3093.13,"2004-03-29"
12560.119999999999,"2004-03-30"
10829.740000000002,"2004-04-02"
2480.7900000000004,"2004-04-03"
9684.26,"2004-04-05"
11510.640000000001,"2004-04-09"
5663.059999999999,"2004-04-12"
21729.71,"2004-04-13"
679.4200000000002,"2004-04-20"
2783.2300000000005,"2004-04-26"
10542.940000000002,"2004-04-29"
12997.390000000001,"2004-05-04"
26394.689999999995,"2004-05-05"
16715.93,"2004-05-07"
4888.43,"2004-05-08"
17144.93,"2004-05-11"
14116.100000000002,"2004-05-18"
10892.550000000001,"2004-05-26"
17651.260000000002,"2004-06-01"
14006.240000000002,"2004-06-03"
2128.3,"2004-06-04"
1946.1099999999997,"2004-06-08"
5644.57,"2004-06-14"
27310.12,"2004-06-15"
16242.269999999999,"2004-06-16"
8059.5,"2004-06-17"
19197.170000000002,"2004-06-24"
18602.52,"2004-06-28"
8234.09,"2004-06-30"
3606.87,"2004-07-02"
20809.32,"2004-07-06"
7293.35,"2004-07-07"
16009.86,"2004-07-12"
2562.56,"2004-07-16"
12734.43,"2004-07-19"
24851.370000000003,"2004-07-20"
22377.020000000008,"2004-07-21"
17951.01,"2004-07-23"
22285.850000000002,"2004-08-02"
967.4000000000001,"2004-08-04"
13310.910000000002,"2004-08-06"
7085.67,"2004-08-09"
20206.440000000002,"2004-08-17"
14771.810000000001,"2004-08-19"
31930.570000000003,"2004-08-20"
12977.340000000002,"2004-08-21"
17799.38,"2004-08-27"
708.6999999999999,"2004-08-28"
24714.51,"2004-08-30"
15628.79,"2004-09-01"
5604.679999999999,"2004-09-03"
1776.8200000000002,"2004-09-07"
31562.120000000006,"2004-09-08"
13894.189999999999,"2004-09-09"
8740.89,"2004-09-10"
13033.35,"2004-09-15"
7230.290000000001,"2004-09-16"
2600.8100000000004,"2004-09-27"
14611.710000000001,"2004-09-30"
1420.8600000000001,"2004-10-06"
22201.079999999994,"2004-10-11"
18538.309999999998,"2004-10-13"
29314.59,"2004-10-14"
25053.399999999994,"2004-10-15"
41108.14,"2004-10-16"
23923.36,"2004-10-21"
33627.560000000005,"2004-10-22"
7304.219999999999,"2004-10-29"
32202,"2004-11-01"
15060.77,"2004-11-02"
19546.200000000004,"2004-11-03"
41012.35000000001,"2004-11-04"
31956.78,"2004-11-05"
6813.710000000001,"2004-11-09"
8145.210000000001,"2004-11-10"
15126.979999999998,"2004-11-12"
19920.74,"2004-11-15"
6673.459999999999,"2004-11-16"
38528.61,"2004-11-17"
10986.98,"2004-11-18"
10276.179999999998,"2004-11-19"
21097.09,"2004-11-20"
8880.7,"2004-11-21"
4562.27,"2004-11-22"
21598.48,"2004-11-23"
49429.999999999985,"2004-11-24"
9013.04,"2004-11-25"
21539.370000000003,"2004-11-29"
16976.389999999996,"2004-12-01"
17428.37,"2004-12-02"
9481.26,"2004-12-03"
25636.49000000001,"2004-12-04"
9643.19,"2004-12-07"
10240.59,"2004-12-09"
32222.04,"2004-12-10"
13266.869999999997,"2004-12-15"
19116.110000000004,"2004-12-16"
13196.670000000002,"2004-12-17"
5631.52,"2005-01-05"
17351.67,"2005-01-06"
3063.64,"2005-01-07"
5757.799999999999,"2005-01-10"
17692.79,"2005-01-12"
5161.17,"2005-01-19"
21172.170000000002,"2005-01-20"
14522.449999999999,"2005-01-23"
11554.270000000002,"2005-01-26"
19276.909999999996,"2005-01-31"
8765.480000000001,"2005-02-02"
20332.56,"2005-02-03"
822.1500000000003,"2005-02-08"
8888.43,"2005-02-09"
21254.54,"2005-02-10"
13571.770000000002,"2005-02-16"
32690.189999999995,"2005-02-17"
14580.269999999999,"2005-02-22"
4798.099999999999,"2005-02-23"
1817.03,"2005-02-28"
17931.739999999998,"2005-03-01"
571.5599999999997,"2005-03-02"
24307.05,"2005-03-03"
22070.38,"2005-03-04"
11504.88,"2005-03-09"
3703.27,"2005-03-10"
12266.4,"2005-03-11"
6933.830000000001,"2005-03-15"
7203.469999999999,"2005-03-17"
10282.939999999999,"2005-03-23"
4784.18,"2005-03-28"
17767.539999999997,"2005-03-30"
24355.51,"2005-04-01"
15031.34,"2005-04-03"
5551.77,"2005-04-07"
32503.790000000005,"2005-04-08"
13654.46,"2005-04-14"
7997.389999999999,"2005-04-15"
21432.230000000003,"2005-04-22"
598.53,"2005-04-23"
14585.199999999999,"2005-04-29"
10719.259999999998,"2005-05-01"
19805.159999999996,"2005-05-03"
11985.51,"2005-05-05"
17585.6,"2005-05-06"
3808.13,"2005-05-09"
12499.67,"2005-05-10"
12757.72,"2005-05-13"
9829.2,"2005-05-16"
18883.81,"2005-05-17"
20795.07,"2005-05-29"
4983.639999999999,"2005-05-30"
28481.030000000006,"2005-05-31"
